user_count,worker_id,first_name,bill_rate,country,country_id,degree,education,education_id,work_experience,job_category,job_category_id
1,~01b404a60905b11630,Alex,40.00,United States,0,,None,0,0,Design & Creative,0
2,~019b9a4166816e3e16,Karol,60.00,United States,0,"['none', 'none', u'Master of Business Administration (M.B.A.)', 'none', u'Bachelor of Arts (B.A.)']",None,0,21,Admin Support,1
3,~01c245731f7c607681,Angela,75.00,United States,0,"[u'Doctor of Philosophy (Ph.D.)', u'Master of Arts (M.A.)', u'Bachelor of Laws (LL.B.)', u'Bachelor of Arts (B.A.)']",Doctorate,1,18,Writing,2
4,~01ccfbbd6370706f4c,Bella,25.00,United States,0,"[u'Master of Arts, English', u'Bachelor of Arts, English']",Master,2,4,Writing,2
5,~01e3039bd8fb59602c,Brandon,120.00,United States,0,"[u'Master of Business Administration (M.B.A.)', u'Bachelor of Science (B.S.)']",Master,2,3,Writing,2
6,~017a8ce5f5277a70f8,David,135.00,United States,0,"[u'Master of Science (M.S.)', u'Bachelor of Science (B.S.)']",Master,2,12,IT & Networking,3
7,~01f9b6ea7dce82200c,Lancelot,70.00,United States,0,Bachelor of Technology (B.Tech.),Bachelor,3,12,"Web, Mobile & Software Dev",4
8,~01f93508c701a69482,Matt,50.00,United States,0,Bachelors,Bachelor,3,17,Writing,2
9,~010ce38df6bfb4bf87,Gautam,50.00,United States,0,"[u""Master's degree"", u'Post Doctoral', u'Doctor of Philosophy (PhD)', u'Post doc']",None,0,23,Writing,2
10,~01cbe2ab4416093a68,Margaret,100.00,Australia,1,"[u'Master of Education (M.Ed.)', 'none', u'Bachelor of Arts (B.A.)']",None,0,27,Sales & Marketing,5
11,~01d63155b42397ba34,Jeff,55.00,United States,0,"['none', u'Bachelor of Arts (B.A.)']",None,0,33,Writing,2
12,~01d459fd13fb47f27c,Wendy,50.00,United States,0,Error: No education,None,0,2,Sales & Marketing,5
13,~012430a7ad47ce70f0,Hoa,50.00,Vietnam,2,"[u'Masters', u'Bachelors']",Master,2,5,"Web, Mobile & Software Dev",4
14,~01a2a1a622f5e86fe4,Ekaterina,55.00,United States,0,Master of Arts (M.A.),Master,2,17,Sales & Marketing,5
15,~01553b7b761bd72b92,Kathleen,45.00,United States,0,"[u'Master of Education (M.Ed.)', u'Master of Arts (M.A.)', u'Bachelor of Arts (B.A.)', 'none']",None,0,11,Writing,2
16,~014a2897d520a73b7e,Kristina,65.00,United States,0,"[u'Doctor of Law (J.D.)', u'Bachelor of Arts (B.A.)']",Professional,4,5,Writing,2
17,~014fc74e3afb2c9117,Sam,25.00,United Kingdom,3,Bachelor of Arts (B.A.),Bachelor,3,3,Sales & Marketing,5
18,~017e7eae60cd64c8fc,Vladyslav,25.00,Ukraine,4,Master of Library & Information Science (M.L.I.S.),Master,2,1,"Web, Mobile & Software Dev",4
19,~018fd35897afad5062,Ana,40.00,Croatia,5,"['none', u'Master of Business Administration (M.B.A.)', u""Bachelor's degree""]",None,0,13,Sales & Marketing,5
20,~01a1cd5d812f168d30,Jason,50.00,United States,0,"[u'Bachelor of Science (B.S.)', 'none']",None,0,4,Data Science & Analytics,6
21,~01c4cbc414bc709812,Jack,76.00,United States,0,Bachelor of Arts (B.A.),Bachelor,3,12,Design & Creative,0
22,~011a833163986e26d4,Saifullah,25.00,United States,0,"[u'Bachelor of Computer Science', u'Bachelor of Computer Science']",Bachelor,3,17,"Web, Mobile & Software Dev",4
23,~013ea2e817845372b8,Hardik,25.00,United States,0,Master of Computer Applications (M.C.A.),Master,2,11,"Web, Mobile & Software Dev",4
24,~011c0354c2a11fe2cf,Stephen,84.00,United States,0,Bachelor of Business Administration (B.B.A.),Bachelor,3,1,Sales & Marketing,5
25,~017103f1940969128f,Morgan,65.00,United States,0,Bachelor of Science (B.S.),Bachelor,3,14,Design & Creative,0
26,~01c023ea6a0992bac6,Alex,75.00,United States,0,Error: No education,None,0,4,"Web, Mobile & Software Dev",4
27,~0131a96dfbd1f6db52,Yukasa,28.00,United States,0,"[u'Master of Business Administration (M.B.A.)', u'Bachelor of Arts (B.A.)']",Master,2,9,Admin Support,1
28,~01f300de8f270c7341,Kristen,75.00,United States,0,Associate's degree,Associate,5,16,Design & Creative,0
29,~01334d3bcba0140b7d,Melissa,25.00,United States,0,"['none', 'none']",None,0,13,Writing,2
