user_count,gender,age,age_range_id
1,female,33.0,2
2,male,37.0,3
3,male,32.0,2
4,female,44.0,3
5,male,25.0,2
6,male,41.0,3
7,error,error,error
8,male,36.0,3
9,female,24.0,1
10,female,34.0,2
11,male,42.0,3
12,male,84.0,6
13,female,34.0,2
14,male,37.0,3
15,error,error,error
16,male,57.0,5
17,male,31.0,2
18,male,44.0,3
19,male,29.0,2
20,male,42.0,3
21,male,55.0,5
22,female,39.0,3
23,male,79.0,6
24,error,error,error
25,error,error,error
26,error,error,error
27,male,38.0,3
28,male,33.0,2
29,male,48.0,4
30,female,36.0,3
31,male,34.0,2
32,female,50.0,4
33,male,56.0,5
34,error,error,error
35,female,34.0,2
36,male,36.0,3
37,male,25.0,2
38,male,39.0,3
39,male,29.0,2
40,female,32.0,2
41,male,33.0,2
42,male,33.0,2
43,male,39.0,3
44,female,32.0,2
45,male,33.0,2
46,male,31.0,2
47,error,error,error
48,female,26.0,2
49,female,22.0,1
50,error,error,error
51,female,28.0,2
52,female,46.0,4
53,male,27.0,2
54,female,26.0,2
55,female,34.0,2
56,female,25.0,2
57,male,62.0,5
58,error,error,error
59,female,25.0,2
60,male,42.0,3
61,female,40.0,3
62,male,47.0,4
63,female,31.0,2
64,male,45.0,4
65,male,25.0,2
66,male,35.0,3
67,female,23.0,1
68,male,31.0,2
69,female,20.0,1
70,female,37.0,3
71,male,40.0,3
72,female,28.0,2
73,error,error,error
74,error,error,error
75,male,42.0,3
76,male,46.0,4
77,male,33.0,2
78,male,36.0,3
79,female,25.0,2
80,male,33.0,2
81,female,32.0,2
82,male,34.0,2
83,error,error,error
84,male,36.0,3
85,female,37.0,3
86,male,44.0,3
87,male,29.0,2
88,female,27.0,2
89,female,36.0,3
90,female,25.0,2
91,female,31.0,2
92,male,30.0,2
93,error,error,error
94,male,36.0,3
95,male,31.0,2
96,male,33.0,2
97,male,39.0,3
98,female,33.0,2
99,female,30.0,2
100,male,30.0,2
101,female,47.0,4
102,male,45.0,4
103,male,24.0,1
104,male,30.0,2
