user_count,gender,age_range,education,,,,,,,,,,,,,,,,,,
682,female,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
1883,female,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
1901,male,45-54,Some College or Associate,,,,,,,,,,,,,,,,,,
2230,male,35-44,Some College or Associate,,,,,,,,,,,,,,,,,,
2313,male,20-24,Some College or Associate,,,,,,,,,,,,,,,,,,
2524,male,45-54,Bachelor or Higher,,,,,,,,,,,,,,,,,,
2650,male,35-44,Some College or Associate,,,,,,,,,,,,,,,,,,
2679,male,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
3707,male,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
3745,female,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
3838,female,25-34,Some College or Associate,,,,,,,,,,,,,,,,,,
4617,male,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
4940,female,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
5041,female,55-64,Bachelor or Higher,,,,,,,,,,,,,,,,,,
5067,male,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
5229,male,20-24,Bachelor or Higher,,,,,,,,,,,,,,,,,,
5608,male,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
5677,male,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
5730,male,25-34,Some College or Associate,,,,,,,,,,,,,,,,,,
5866,female,45-54,Bachelor or Higher,,,,,,,,,,,,,,,,,,
5967,male,35-44,Bachelor or Higher,,,,,,,,,,,,,,,,,,
6072,male,25-34,Other,,,,,,,,,,,,,,,,,,
6455,female,35-44,Some College or Associate,,,,,,,,,,,,,,,,,,
6742,male,16-19,Less Than High School,,,,,,,,,,,,,,,,,,
6887,female,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
7050,female,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
7522,female,25-34,Bachelor or Higher,,,,,,,,,,,,,,,,,,
