user_count,education,education_id,ed_list
1,Bachelor or Higher,0,[]
2,Bachelor or Higher,0,[]
3,Bachelor or Higher,0,[]
4,Bachelor or Higher,0,[]
5,Bachelor or Higher,0,[]
6,Bachelor or Higher,0,[]
7,Bachelor or Higher,0,[]
8,Bachelor or Higher,0,[]
9,Bachelor or Higher,0,[]
10,Bachelor or Higher,0,[]
11,Bachelor or Higher,0,[]
12,Bachelor or Higher,0,[]
13,Bachelor or Higher,0,[]
14,Bachelor or Higher,0,[]
15,Bachelor or Higher,0,[]
16,Bachelor or Higher,0,[]
17,Some College or Associate,1,[]
18,Bachelor or Higher,0,[]
19,Bachelor or Higher,0,[]
20,Bachelor or Higher,0,[]
21,Bachelor or Higher,0,[]
22,Bachelor or Higher,0,[]
23,Some College or Associate,1,[]
24,Bachelor or Higher,0,[]
25,Bachelor or Higher,0,[]
26,Bachelor or Higher,0,[]
27,Bachelor or Higher,0,[]
28,Bachelor or Higher,0,[]
29,Bachelor or Higher,0,[]
30,Bachelor or Higher,0,[]
31,Bachelor or Higher,0,[]
32,Bachelor or Higher,0,[]
33,Some College or Associate,1,[]
34,Bachelor or Higher,0,[]
35,Bachelor or Higher,0,[]
36,Bachelor or Higher,0,[]
37,Other,4,"[['', 'F.I.T.', '']]"
38,Bachelor or Higher,0,[]
39,Bachelor or Higher,0,[]
40,Bachelor or Higher,0,[]
41,Bachelor or Higher,0,[]
42,error,error,error
43,Bachelor or Higher,0,[]
44,Bachelor or Higher,0,[]
45,Bachelor or Higher,0,[]
46,Bachelor or Higher,0,[]
47,Bachelor or Higher,0,[]
48,error,error,error
49,Bachelor or Higher,0,[]
50,Bachelor or Higher,0,[]
51,Bachelor or Higher,0,[]
52,Bachelor or Higher,0,[]
53,Bachelor or Higher,0,[]
54,Bachelor or Higher,0,[]
55,Bachelor or Higher,0,[]
56,Bachelor or Higher,0,[]
57,Bachelor or Higher,0,[]
58,Bachelor or Higher,0,[]
59,Bachelor or Higher,0,[]
60,Bachelor or Higher,0,[]
61,error,error,error
62,Some College or Associate,1,[]
63,Bachelor or Higher,0,[]
64,Bachelor or Higher,0,[]
65,Bachelor or Higher,0,[]
66,Bachelor or Higher,0,[]
67,Some College or Associate,1,[]
68,Bachelor or Higher,0,[]
69,Bachelor or Higher,0,[]
70,Bachelor or Higher,0,[]
71,Bachelor or Higher,0,[]
72,Bachelor or Higher,0,[]
73,Bachelor or Higher,0,[]
74,Bachelor or Higher,0,[]
75,Bachelor or Higher,0,[]
76,Bachelor or Higher,0,[]
77,Bachelor or Higher,0,[]
78,Bachelor or Higher,0,[]
79,Some College or Associate,1,[]
80,Bachelor or Higher,0,[]
81,Bachelor or Higher,0,[]
82,Bachelor or Higher,0,[]
83,Bachelor or Higher,0,[]
84,High School,2,[]
85,error,error,error
86,error,error,error
87,Bachelor or Higher,0,[]
88,Bachelor or Higher,0,[]
89,Bachelor or Higher,0,[]
90,Bachelor or Higher,0,[]
91,Bachelor or Higher,0,[]
92,Bachelor or Higher,0,[]
93,Bachelor or Higher,0,[]
94,Bachelor or Higher,0,[]
95,error,error,error
96,Bachelor or Higher,0,[]
97,Bachelor or Higher,0,[]
98,Bachelor or Higher,0,[]
99,Bachelor or Higher,0,[]
100,Bachelor or Higher,0,[]
101,Some College or Associate,1,[]
102,Bachelor or Higher,0,[]
103,Bachelor or Higher,0,[]
104,Bachelor or Higher,0,[]
105,Bachelor or Higher,0,[]
106,Bachelor or Higher,0,[]
107,Some College or Associate,1,[]
108,Bachelor or Higher,0,[]
109,Some College or Associate,1,[]
110,Less Than High School,3,[]
111,Other,4,"[['Other', 'Roberts Walsh Court Reporting', 'I was exempt from taking English courses that were part of the curriculum because my test scores were very high. That enabled me to concentrate on theory and finish six months ahead of those who started the course at the same time as I did.'], ['Other', 'Brookdale Community College', 'Based on my test scores, I was approached to tutor second-language-English students. Those same test scores allowed me to start in level II courses.']]"
112,Bachelor or Higher,0,[]
113,None,5,[]
114,Bachelor or Higher,0,[]
115,Bachelor or Higher,0,[]
116,Bachelor or Higher,0,[]
117,Bachelor or Higher,0,[]
118,Bachelor or Higher,0,[]
119,Bachelor or Higher,0,[]
120,Some College or Associate,1,[]
121,Bachelor or Higher,0,[]
122,Bachelor or Higher,0,[]
123,Bachelor or Higher,0,[]
124,Some College or Associate,1,[]
125,Bachelor or Higher,0,[]
126,Some College or Associate,1,[]
127,Bachelor or Higher,0,[]
128,Bachelor or Higher,0,[]
129,Bachelor or Higher,0,[]
130,Bachelor or Higher,0,[]
131,Other,4,"[['', 'Alison', ''], ['', 'Alliance Francaise', '']]"
132,Some College or Associate,1,[]
133,Some College or Associate,1,[]
134,Bachelor or Higher,0,[]
135,Bachelor or Higher,0,[]
136,Bachelor or Higher,0,[]
137,Bachelor or Higher,0,[]
138,Bachelor or Higher,0,[]
139,Bachelor or Higher,0,[]
140,High School,2,[]
141,Bachelor or Higher,0,[]
142,Bachelor or Higher,0,[]
143,Bachelor or Higher,0,[]
144,Bachelor or Higher,0,[]
145,Bachelor or Higher,0,[]
146,Bachelor or Higher,0,[]
147,Bachelor or Higher,0,[]
148,Bachelor or Higher,0,[]
149,Bachelor or Higher,0,[]
150,Bachelor or Higher,0,[]
151,Bachelor or Higher,0,[]
152,Bachelor or Higher,0,[]
153,Bachelor or Higher,0,[]
154,Bachelor or Higher,0,[]
155,Bachelor or Higher,0,[]
156,Bachelor or Higher,0,[]
157,Other,4,"[['', 'Calli Language School - Centre de Idiomas - Puerto Escondido, Oaxaca, Mexico', '']]"
158,Bachelor or Higher,0,[]
159,Some College or Associate,1,[]
160,Bachelor or Higher,0,[]
161,Bachelor or Higher,0,[]
162,Bachelor or Higher,0,[]
163,Bachelor or Higher,0,[]
164,Bachelor or Higher,0,[]
165,Bachelor or Higher,0,[]
166,Bachelor or Higher,0,[]
167,Some College or Associate,1,[]
168,Bachelor or Higher,0,[]
169,Some College or Associate,1,[]
170,Bachelor or Higher,0,[]
171,Some College or Associate,1,[]
172,Some College or Associate,1,[]
173,Bachelor or Higher,0,[]
174,Bachelor or Higher,0,[]
175,Bachelor or Higher,0,[]
176,Bachelor or Higher,0,[]
177,Some College or Associate,1,[]
178,Bachelor or Higher,0,[]
179,Bachelor or Higher,0,[]
180,Bachelor or Higher,0,[]
181,Bachelor or Higher,0,[]
182,Bachelor or Higher,0,[]
183,Bachelor or Higher,0,[]
184,Bachelor or Higher,0,[]
185,Bachelor or Higher,0,[]
186,Bachelor or Higher,0,[]
187,Some College or Associate,1,[]
188,Bachelor or Higher,0,[]
189,Bachelor or Higher,0,[]
190,Bachelor or Higher,0,[]
191,Bachelor or Higher,0,[]
192,High School,2,[]
193,Bachelor or Higher,0,[]
194,Bachelor or Higher,0,[]
195,Bachelor or Higher,0,[]
196,Bachelor or Higher,0,[]
197,Bachelor or Higher,0,[]
198,Bachelor or Higher,0,[]
199,Bachelor or Higher,0,[]
200,Bachelor or Higher,0,[]
201,error,error,error
202,Some College or Associate,1,[]
203,Bachelor or Higher,0,[]
204,Bachelor or Higher,0,[]
205,Bachelor or Higher,0,[]
206,Bachelor or Higher,0,[]
207,Other,4,"[['Political Science', 'University of the Pacific', '']]"
208,Bachelor or Higher,0,[]
209,Bachelor or Higher,0,[]
210,Bachelor or Higher,0,[]
211,Bachelor or Higher,0,[]
212,Bachelor or Higher,0,[]
213,Bachelor or Higher,0,[]
214,Bachelor or Higher,0,[]
215,Some College or Associate,1,[]
216,Bachelor or Higher,0,[]
217,Bachelor or Higher,0,[]
218,Bachelor or Higher,0,[]
219,Some College or Associate,1,[]
