user_count,education,education_id
1,Bachelor or Higher,0
2,None,5
3,Bachelor or Higher,0
4,Bachelor or Higher,0
5,Bachelor or Higher,0
6,Bachelor or Higher,0
7,Bachelor or Higher,0
8,None,5
9,Bachelor or Higher,0
10,Bachelor or Higher,0
11,Bachelor or Higher,0
12,Bachelor or Higher,0
13,None,5
14,Bachelor or Higher,0
15,Bachelor or Higher,0
16,None,5
17,Bachelor or Higher,0
18,None,5
19,Bachelor or Higher,0
20,Bachelor or Higher,0
21,None,5
22,Bachelor or Higher,0
23,Bachelor or Higher,0
24,Bachelor or Higher,0
25,Bachelor or Higher,0
26,None,5
27,Bachelor or Higher,0
28,None,5
29,None,5
30,Bachelor or Higher,0
31,Bachelor or Higher,0
32,None,5
33,None,5
34,Bachelor or Higher,0
35,None,5
36,None,5
37,None,5
38,Bachelor or Higher,0
39,None,5
40,Bachelor or Higher,0
41,Bachelor or Higher,0
42,Bachelor or Higher,0
43,Bachelor or Higher,0
44,None,5
45,Bachelor or Higher,0
46,Bachelor or Higher,0
47,None,5
48,Bachelor or Higher,0
49,None,5
50,None,5
51,Bachelor or Higher,0
52,Bachelor or Higher,0
53,None,5
54,Bachelor or Higher,0
55,Bachelor or Higher,0
56,None,5
57,Bachelor or Higher,0
58,Bachelor or Higher,0
59,None,5
60,Bachelor or Higher,0
61,Bachelor or Higher,0
62,Bachelor or Higher,0
63,Bachelor or Higher,0
64,Bachelor or Higher,0
65,Bachelor or Higher,0
66,Bachelor or Higher,0
67,Bachelor or Higher,0
68,Bachelor or Higher,0
69,None,5
70,Bachelor or Higher,0
71,Bachelor or Higher,0
72,None,5
73,None,5
74,None,5
75,Bachelor or Higher,0
76,Bachelor or Higher,0
77,Bachelor or Higher,0
78,None,5
79,Bachelor or Higher,0
80,Bachelor or Higher,0
81,None,5
82,Bachelor or Higher,0
83,Bachelor or Higher,0
84,None,5
85,Bachelor or Higher,0
86,None,5
87,None,5
88,None,5
89,None,5
90,None,5
91,Bachelor or Higher,0
92,Bachelor or Higher,0
93,Bachelor or Higher,0
94,None,5
95,Bachelor or Higher,0
96,Bachelor or Higher,0
97,Bachelor or Higher,0
98,None,5
99,None,5
100,Bachelor or Higher,0
101,None,5
102,None,5
103,Bachelor or Higher,0
104,Bachelor or Higher,0
105,Bachelor or Higher,0
106,None,5
107,Bachelor or Higher,0
108,Bachelor or Higher,0
109,Bachelor or Higher,0
110,None,5
111,Bachelor or Higher,0
112,None,5
113,None,5
114,Bachelor or Higher,0
115,Bachelor or Higher,0
116,None,5
117,Bachelor or Higher,0
118,Bachelor or Higher,0
119,Bachelor or Higher,0
120,Bachelor or Higher,0
121,None,5
122,None,5
123,None,5
124,Bachelor or Higher,0
125,Bachelor or Higher,0
126,None,5
127,Bachelor or Higher,0
128,Bachelor or Higher,0
129,None,5
130,Bachelor or Higher,0
131,Bachelor or Higher,0
132,Bachelor or Higher,0
133,Bachelor or Higher,0
134,Bachelor or Higher,0
135,Bachelor or Higher,0
136,None,5
137,Bachelor or Higher,0
138,Bachelor or Higher,0
139,Bachelor or Higher,0
140,Bachelor or Higher,0
141,None,5
142,None,5
143,Bachelor or Higher,0
144,Bachelor or Higher,0
145,Bachelor or Higher,0
146,None,5
147,Bachelor or Higher,0
148,Bachelor or Higher,0
149,Bachelor or Higher,0
150,None,5
151,Bachelor or Higher,0
152,Bachelor or Higher,0
153,None,5
154,Bachelor or Higher,0
155,Bachelor or Higher,0
156,Bachelor or Higher,0
157,None,5
158,None,5
159,None,5
160,Bachelor or Higher,0
161,Bachelor or Higher,0
162,None,5
163,Bachelor or Higher,0
164,Bachelor or Higher,0
165,Bachelor or Higher,0
166,Bachelor or Higher,0
167,Bachelor or Higher,0
168,Bachelor or Higher,0
169,Bachelor or Higher,0
170,None,5
171,None,5
172,Bachelor or Higher,0
173,Bachelor or Higher,0
174,Bachelor or Higher,0
175,Bachelor or Higher,0
176,Bachelor or Higher,0
177,Bachelor or Higher,0
178,Bachelor or Higher,0
179,None,5
180,Bachelor or Higher,0
181,Bachelor or Higher,0
182,None,5
183,Bachelor or Higher,0
184,Bachelor or Higher,0
185,Bachelor or Higher,0
186,Bachelor or Higher,0
187,Bachelor or Higher,0
188,Bachelor or Higher,0
189,None,5
190,Bachelor or Higher,0
191,Bachelor or Higher,0
192,Bachelor or Higher,0
193,Bachelor or Higher,0
194,Bachelor or Higher,0
195,Bachelor or Higher,0
196,None,5
197,None,5
198,Bachelor or Higher,0
199,None,5
200,None,5
201,Bachelor or Higher,0
