user_count,education,education_id
1,Bachelor or Higher,0
2,Bachelor or Higher,0
3,Bachelor or Higher,0
4,Bachelor or Higher,0
5,Bachelor or Higher,0
6,Bachelor or Higher,0
7,Bachelor or Higher,0
8,Bachelor or Higher,0
9,Bachelor or Higher,0
10,Bachelor or Higher,0
11,Bachelor or Higher,0
12,Bachelor or Higher,0
13,Bachelor or Higher,0
14,Bachelor or Higher,0
15,Bachelor or Higher,0
16,Bachelor or Higher,0
17,None,5
18,Bachelor or Higher,0
19,Bachelor or Higher,0
20,Bachelor or Higher,0
21,Bachelor or Higher,0
22,Bachelor or Higher,0
23,None,5
24,Bachelor or Higher,0
25,Bachelor or Higher,0
26,Bachelor or Higher,0
27,Bachelor or Higher,0
28,Bachelor or Higher,0
29,Bachelor or Higher,0
30,Bachelor or Higher,0
31,Bachelor or Higher,0
32,Bachelor or Higher,0
33,None,5
34,Bachelor or Higher,0
35,Bachelor or Higher,0
36,Bachelor or Higher,0
37,None,5
38,Bachelor or Higher,0
39,Bachelor or Higher,0
40,Bachelor or Higher,0
41,Bachelor or Higher,0
42,None,5
43,Bachelor or Higher,0
44,Bachelor or Higher,0
45,Bachelor or Higher,0
46,Bachelor or Higher,0
47,Bachelor or Higher,0
48,None,5
49,Bachelor or Higher,0
50,Bachelor or Higher,0
51,Bachelor or Higher,0
52,Bachelor or Higher,0
53,Bachelor or Higher,0
54,Bachelor or Higher,0
55,Bachelor or Higher,0
56,Bachelor or Higher,0
57,Bachelor or Higher,0
58,Bachelor or Higher,0
59,Bachelor or Higher,0
60,Bachelor or Higher,0
61,None,5
62,None,5
63,Bachelor or Higher,0
64,Bachelor or Higher,0
65,Bachelor or Higher,0
66,Bachelor or Higher,0
67,None,5
68,Bachelor or Higher,0
69,Bachelor or Higher,0
70,Bachelor or Higher,0
71,Bachelor or Higher,0
72,Bachelor or Higher,0
73,Bachelor or Higher,0
74,Bachelor or Higher,0
75,Bachelor or Higher,0
76,Bachelor or Higher,0
77,Bachelor or Higher,0
78,Bachelor or Higher,0
79,None,5
80,Bachelor or Higher,0
81,Bachelor or Higher,0
82,Bachelor or Higher,0
83,Bachelor or Higher,0
84,None,5
85,None,5
86,None,5
87,Bachelor or Higher,0
88,Bachelor or Higher,0
89,Bachelor or Higher,0
90,Bachelor or Higher,0
91,Bachelor or Higher,0
92,Bachelor or Higher,0
93,Bachelor or Higher,0
94,Bachelor or Higher,0
95,None,5
96,Bachelor or Higher,0
97,Bachelor or Higher,0
98,Bachelor or Higher,0
99,Bachelor or Higher,0
100,Bachelor or Higher,0
101,None,5
102,Bachelor or Higher,0
103,Bachelor or Higher,0
104,Bachelor or Higher,0
105,Bachelor or Higher,0
106,Bachelor or Higher,0
107,None,5
108,Bachelor or Higher,0
109,None,5
110,None,5
111,None,5
112,Bachelor or Higher,0
113,None,5
114,Bachelor or Higher,0
115,Bachelor or Higher,0
116,Bachelor or Higher,0
117,Bachelor or Higher,0
118,Bachelor or Higher,0
119,Bachelor or Higher,0
120,None,5
121,Bachelor or Higher,0
122,Bachelor or Higher,0
123,Bachelor or Higher,0
124,None,5
125,Bachelor or Higher,0
126,None,5
127,Bachelor or Higher,0
128,Bachelor or Higher,0
129,Bachelor or Higher,0
130,Bachelor or Higher,0
131,None,5
132,None,5
133,None,5
134,Bachelor or Higher,0
135,Bachelor or Higher,0
136,Bachelor or Higher,0
137,Bachelor or Higher,0
138,Bachelor or Higher,0
139,Bachelor or Higher,0
140,None,5
141,Bachelor or Higher,0
142,Bachelor or Higher,0
143,Bachelor or Higher,0
144,Bachelor or Higher,0
145,Bachelor or Higher,0
146,Bachelor or Higher,0
147,Bachelor or Higher,0
148,Bachelor or Higher,0
149,Bachelor or Higher,0
150,Bachelor or Higher,0
151,Bachelor or Higher,0
152,Bachelor or Higher,0
153,Bachelor or Higher,0
154,Bachelor or Higher,0
155,Bachelor or Higher,0
156,Bachelor or Higher,0
157,None,5
158,Bachelor or Higher,0
159,None,5
160,Bachelor or Higher,0
161,Bachelor or Higher,0
162,Bachelor or Higher,0
163,Bachelor or Higher,0
164,Bachelor or Higher,0
165,Bachelor or Higher,0
166,Bachelor or Higher,0
167,None,5
168,Bachelor or Higher,0
169,None,5
170,Bachelor or Higher,0
171,None,5
172,None,5
173,Bachelor or Higher,0
174,Bachelor or Higher,0
175,Bachelor or Higher,0
176,Bachelor or Higher,0
177,None,5
178,Bachelor or Higher,0
179,Bachelor or Higher,0
180,Bachelor or Higher,0
181,Bachelor or Higher,0
182,Bachelor or Higher,0
183,Bachelor or Higher,0
184,Bachelor or Higher,0
185,Bachelor or Higher,0
186,Bachelor or Higher,0
187,None,5
188,Bachelor or Higher,0
189,Bachelor or Higher,0
190,Bachelor or Higher,0
191,Bachelor or Higher,0
192,None,5
193,Bachelor or Higher,0
194,Bachelor or Higher,0
195,Bachelor or Higher,0
196,Bachelor or Higher,0
197,Bachelor or Higher,0
198,Bachelor or Higher,0
199,Bachelor or Higher,0
200,Bachelor or Higher,0
201,None,5
202,None,5
203,Bachelor or Higher,0
204,Bachelor or Higher,0
205,Bachelor or Higher,0
206,Bachelor or Higher,0
207,None,5
208,Bachelor or Higher,0
209,Bachelor or Higher,0
210,Bachelor or Higher,0
211,Bachelor or Higher,0
212,Bachelor or Higher,0
213,Bachelor or Higher,0
214,Bachelor or Higher,0
215,None,5
216,Bachelor or Higher,0
217,None,5
218,Bachelor or Higher,0
219,None,5
220,Bachelor or Higher,0
221,Bachelor or Higher,0
222,Bachelor or Higher,0
223,None,5
224,Bachelor or Higher,0
225,None,5
226,None,5
227,Bachelor or Higher,0
228,Bachelor or Higher,0
229,Bachelor or Higher,0
230,Bachelor or Higher,0
231,None,5
232,Bachelor or Higher,0
233,None,5
234,Bachelor or Higher,0
235,Bachelor or Higher,0
236,Bachelor or Higher,0
237,Bachelor or Higher,0
238,Bachelor or Higher,0
239,Bachelor or Higher,0
240,Bachelor or Higher,0
241,Bachelor or Higher,0
242,Bachelor or Higher,0
243,None,5
244,None,5
245,Bachelor or Higher,0
246,Bachelor or Higher,0
247,None,5
248,None,5
249,Bachelor or Higher,0
250,Bachelor or Higher,0
251,None,5
252,Bachelor or Higher,0
253,Bachelor or Higher,0
254,Bachelor or Higher,0
255,Bachelor or Higher,0
256,Bachelor or Higher,0
257,None,5
258,None,5
259,Bachelor or Higher,0
260,None,5
261,Bachelor or Higher,0
262,Bachelor or Higher,0
263,Bachelor or Higher,0
264,None,5
265,Bachelor or Higher,0
266,Bachelor or Higher,0
267,Bachelor or Higher,0
268,Bachelor or Higher,0
269,Bachelor or Higher,0
270,Bachelor or Higher,0
271,None,5
272,None,5
273,Bachelor or Higher,0
274,Bachelor or Higher,0
275,None,5
276,Bachelor or Higher,0
277,Bachelor or Higher,0
278,None,5
279,Bachelor or Higher,0
280,Bachelor or Higher,0
281,Bachelor or Higher,0
282,Bachelor or Higher,0
283,None,5
284,Bachelor or Higher,0
285,None,5
286,Bachelor or Higher,0
287,Bachelor or Higher,0
288,Bachelor or Higher,0
289,None,5
290,Bachelor or Higher,0
291,None,5
292,Bachelor or Higher,0
293,Bachelor or Higher,0
294,Bachelor or Higher,0
295,Bachelor or Higher,0
296,Bachelor or Higher,0
297,None,5
298,None,5
299,None,5
300,None,5
301,None,5
302,Bachelor or Higher,0
303,Bachelor or Higher,0
304,Bachelor or Higher,0
305,None,5
306,Bachelor or Higher,0
307,None,5
308,Bachelor or Higher,0
309,Bachelor or Higher,0
310,None,5
311,None,5
312,Bachelor or Higher,0
313,None,5
314,None,5
315,None,5
