user_count,worker_id,photo_link,gender,age_range,full_education,education
32689,~010bd468bfc0423fd2,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/32689.jpg"", 1)",,,"{u'ed_to': u'01/2010', u'ed_area': u'Computer science', u'ed_school': u'San Jose City College', u'ed_comment': u'', u'ed_from': u'01/2001', u'ed_degree': u'Master of Computer Applications (M.C.A.)'}",
8900,~01d435bf3e526173d6,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/8900.jpg"", 1)",,,"{u'ed_to': u'01/1991', u'ed_area': u'', u'ed_school': u'Palistine Wheatly High School', u'ed_comment': u'', u'ed_from': u'01/1988', u'ed_degree': u''}",
28110,~01caece2f244e9af27,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/28110.jpg"", 1)",,,"{u'ed_to': u'01/2011', u'ed_area': u'Music Production & Engineering', u'ed_school': u'Berklee College of Music', u'ed_comment': u'', u'ed_from': u'01/2008', u'ed_degree': u'Bachelor of Arts (B.A.)'}",
23894,~01ee2a8c8890151c1f,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/23894.jpg"", 1)",,,"[{u'ed_to': u'01/2015', u'ed_area': u'', u'ed_school': u'Benedictine University', u'ed_comment': u'', u'ed_from': u'01/2013', u'ed_degree': u'Master of Business Administration (M.B.A.)'}, {u'ed_to': u'01/2005', u'ed_area': u'English', u'ed_school': u'University of Chicago', u'ed_comment': u'', u'ed_from': u'01/2001', u'ed_degree': u'Bachelor of Arts (B.A.)'}]",
27380,~01b7ba3e7659f8fa15,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/27380.jpg"", 1)",,,"{u'ed_to': u'01/2006', u'ed_area': u'Marketing', u'ed_school': u'University of Florida', u'ed_comment': u'', u'ed_from': u'01/2002', u'ed_degree': u'Bachelor of Science (B.S.)'}",
32668,~01c4528d8604af2915,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/32668.jpg"", 1)",,,"[{u'ed_to': u'01/2021', u'ed_area': u'Photography, Writing, Digital Studies, Studio Art', u'ed_school': u'Grand Valley State University', u'ed_comment': u'', u'ed_from': u'01/2016', u'ed_degree': u'Bachelor of Arts (B.A.)'}, {u'ed_to': u'01/2016', u'ed_area': u'General Studies', u'ed_school': u'Sanilac Clair County Community College', u'ed_comment': u'', u'ed_from': u'01/2014', u'ed_degree': u''}, {u'ed_to': u'01/2014', u'ed_area': u'Graphic Design', u'ed_school': u'Sanilac County Career Center', u'ed_comment': u'', u'ed_from': u'01/2012', u'ed_degree': u''}]",
49282,~019ace575609b0cfa8,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/49282.jpg"", 1)",,,"[{u'ed_to': u'01/2001', u'ed_area': u'', u'ed_school': u'Univeristy of Nevada Las Vegas', u'ed_comment': u'Emphasis: English', u'ed_from': u'', u'ed_degree': u'Masters of Education'}, {u'ed_to': u'01/1998', u'ed_area': u'', u'ed_school': u'California State University Fullerton', u'ed_comment': u'Major: English literature with emphasis in Romantic literature and creative writing (under full-ride scholarship)\nMinor: cultural anthropology', u'ed_from': u'', u'ed_degree': u'Bachelors of Arts English Literature'}]",
36989,~0185c4514e241b889c,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/36989.jpg"", 1)",,,"[{u'ed_to': u'01/2023', u'ed_area': u'Classical Fine Art', u'ed_school': u'Carlin Academy of Fine Art', u'ed_comment': u'A private art education taught by artist Neilson Carlin, who traces his instructional lineage directly to the academic painting tradition of 19th century France. Curriculum includes classical drawing and oil painting in the tradition of the old masters. www.carlinacademy.com', u'ed_from': u'01/2015', u'ed_degree': u''}, {u'ed_to': u'01/2012', u'ed_area': u'Nursing', u'ed_school': u'Delaware Technical and Community College', u'ed_comment': u'', u'ed_from': u'01/2010', u'ed_degree': u''}]",
25337,~018b09bfb8b1ff46d8,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/25337.jpg"", 1)",,,"{u'ed_to': u'01/2014', u'ed_area': u'Business Administration, Intergrated Marketing Communications', u'ed_school': u'San Diego State University', u'ed_comment': u'', u'ed_from': u'01/2011', u'ed_degree': u'Bachelor of Science (B.S.)'}",
36875,~01a5bc6d2f8a824f67,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/36875.jpg"", 1)",,,"{u'ed_to': u'01/2011', u'ed_area': u'Medicine', u'ed_school': u'Rajiv Gandhi University of Health Sciences', u'ed_comment': u'', u'ed_from': u'01/2005', u'ed_degree': u'Bachelor of Medicine, Bachelor of Surgery (M.B.B.S.)'}",
40415,~0161cb6b6f7775debd,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/40415.jpg"", 1)",,,"{u'ed_to': u'01/2018', u'ed_area': u'Accountancy', u'ed_school': u'Western Michigan University - Haworth College of Business', u'ed_comment': u'', u'ed_from': u'01/2013', u'ed_degree': u'Bachelor of Business Administration (B.B.A.)'}",
5677,~0148c79ceca7c9e77e,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/5677.jpg"", 1)",,,"{u'ed_to': u'01/2010', u'ed_area': u'Media Arts and Animation', u'ed_school': u'The Art Institute of Pittsburgh', u'ed_comment': u'Coursework in typography, layout design, motion graphics, color theory, graphic design.', u'ed_from': u'01/2007', u'ed_degree': u'Bachelor of Science (B.S.)'}",
33426,~013352bffe05d187cf,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/33426.jpg"", 1)",,,"{u'ed_to': u'01/2017', u'ed_area': u'Contemporary compostion for film, Audion Engineering', u'ed_school': u'Musicians Institute', u'ed_comment': u'', u'ed_from': u'01/2014', u'ed_degree': u''}",
28260,~011e3d50e821b39b77,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/28260.jpg"", 1)",,,"[{u'ed_to': u'01/2018', u'ed_area': u'Fashion Merchandising and Marketing', u'ed_school': u'Academy of Art University', u'ed_comment': u'', u'ed_from': u'01/2017', u'ed_degree': u'Master of Arts (M.A.)'}, {u'ed_to': u'12/2011', u'ed_area': u'communication and sports mgmt', u'ed_school': u'Texas A&M Univerisity', u'ed_comment': u'', u'ed_from': u'01/2007', u'ed_degree': u'Bachelor of Business Administration (B.B.A.)'}]",
21144,~01e82981266a111ce6,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/21144.jpg"", 1)",,,"{u'ed_to': u'01/2017', u'ed_area': u'Communications, Journalism', u'ed_school': u'California State University, Fullerton', u'ed_comment': u'', u'ed_from': u'01/2014', u'ed_degree': u'Bachelor of Arts (B.A.)'}",
14144,~012c51352c78c1b441,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/14144.jpg"", 1)",,,"[{u'ed_to': u'01/1983', u'ed_area': u'Civil engineering', u'ed_school': u'International Correspondence School', u'ed_comment': u'', u'ed_from': u'01/1979', u'ed_degree': u""Associate's degree""}, {u'ed_to': u'01/1978', u'ed_area': u'', u'ed_school': u'Victoria Park High School', u'ed_comment': u'', u'ed_from': u'01/1974', u'ed_degree': u'High school degree'}]",
1883,~01f464d89fa067aec7,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/1883.jpg"", 1)",,,"[{u'ed_to': u'12/2014', u'ed_area': u'Consciousness Studies', u'ed_school': u'John F. Kennedy University', u'ed_comment': u'', u'ed_from': u'01/2012', u'ed_degree': u'Master of Arts (M.A.)'}, {u'ed_to': u'12/2003', u'ed_area': u'Communications and Rhetoric', u'ed_school': u'University of Georgia', u'ed_comment': u'', u'ed_from': u'01/1999', u'ed_degree': u'Bachelor of Arts (B.A.)'}]",
53774,~01c98c8488669e961b,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/53774.jpg"", 1)",,,"{u'ed_to': u'01/2011', u'ed_area': u'Marketing', u'ed_school': u'San Francisco State University', u'ed_comment': u'- Graduated Magna Cum Laude\n\n- Recipient of Marketing Department\u2019s most outstanding student award & nominee for the College of Business\u2019 student leader of the year\n\n- SFSU Marketing Association President', u'ed_from': u'01/2007', u'ed_degree': u'Bachelor of Science (B.S.)'}",
29653,~01b98afa74c41a2292,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/29653.jpg"", 1)",,,"{u'ed_to': u'01/2012', u'ed_area': u'Acting, Accounting', u'ed_school': u'Muhlenberg College', u'ed_comment': u'', u'ed_from': u'01/2008', u'ed_degree': u'Bachelor of Arts (B.A.)'}",
52607,~01fd28834f98d25381,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/52607.jpg"", 1)",,,"{u'ed_to': u'01/2017', u'ed_area': u'Creative production', u'ed_school': u'Home schooled', u'ed_comment': u'I have been home schooled my whole life and I am currently my own teacher along with tutor and assistance. I would consider myself very well educated. Very open minded, I like to look beyond the limits.', u'ed_from': u'01/2002', u'ed_degree': u'Bachelor of Business Administration (B.B.A.)'}",
22368,~010821a5e7df72b57d,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/22368.jpg"", 1)",,,"{u'ed_to': u'01/2006', u'ed_area': u'', u'ed_school': u'The University of Texas at Austin', u'ed_comment': u'', u'ed_from': u'01/2002', u'ed_degree': u''}",
39181,~01ffc8bf05fb309b5c,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/39181.jpg"", 1)",,,"{u'ed_to': u'01/2011', u'ed_area': u'', u'ed_school': u'Illinois State University', u'ed_comment': u'', u'ed_from': u'01/2007', u'ed_degree': u'Bachelor of Business Administration (B.B.A.)'}",
21993,~012d44053709e3814f,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/21993.jpg"", 1)",,,"[{u'ed_to': u'01/2020', u'ed_area': u'Human and Social Services', u'ed_school': u'Walden University', u'ed_comment': u'', u'ed_from': u'01/2016', u'ed_degree': u'Doctor of Philosophy (Ph.D.)'}, {u'ed_to': u'01/2014', u'ed_area': u'', u'ed_school': u'Walden University', u'ed_comment': u'', u'ed_from': u'01/2012', u'ed_degree': u'Master of Public Administration (M.P.A.)'}, {u'ed_to': u'01/2005', u'ed_area': u'Mass Communications', u'ed_school': u'North Carolina Central University', u'ed_comment': u'', u'ed_from': u'01/2001', u'ed_degree': u'Bachelor of Arts (B.A.)'}]",
6887,~01ca5d03ca35d74bc5,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/6887.jpg"", 1)",,,"{u'ed_to': u'01/2008', u'ed_area': u'Sociology and Global Studies', u'ed_school': u'University of Alabama-Huntsville', u'ed_comment': u'', u'ed_from': u'01/2006', u'ed_degree': u'Bachelor of Arts (B.A.)'}",
53059,~01f1195835f0077a7d,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/53059.jpg"", 1)",,,"[{u'ed_to': u'01/1996', u'ed_area': u'Journalism', u'ed_school': u'Arizona State University', u'ed_comment': u'', u'ed_from': u'01/1994', u'ed_degree': u'Master of Arts (M.A.)'}, {u'ed_to': u'01/1994', u'ed_area': u'English Literature', u'ed_school': u'Ithaca College', u'ed_comment': u'Double minor in Writing and Politics', u'ed_from': u'01/1990', u'ed_degree': u'Bachelor of Arts (B.A.)'}]",
26923,~01f2f34d2a4cf94b78,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/26923.jpg"", 1)",,,"{u'ed_to': u'01/2007', u'ed_area': u'', u'ed_school': u'Tulsa Community College', u'ed_comment': u'', u'ed_from': u'01/2004', u'ed_degree': u""Associate's degree""}",
23090,~01dfec01ff12e010c9,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/23090.jpg"", 1)",,,"{u'ed_to': u'01/1997', u'ed_area': u'Management of Information Systems', u'ed_school': u'University of Oklahoma', u'ed_comment': u'', u'ed_from': u'01/1991', u'ed_degree': u'Bachelor of Business Administration (B.B.A.)'}",
10856,~0136ebaceb01f3991c,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/10856.jpg"", 1)",,,"[{u'ed_to': u'01/1988', u'ed_area': u'Business', u'ed_school': u'Oakland City University', u'ed_comment': u'', u'ed_from': u'01/1986', u'ed_degree': u''}, {u'ed_to': u'01/1978', u'ed_area': u'General Business and Accounting', u'ed_school': u'Miami Dade College', u'ed_comment': u'', u'ed_from': u'01/1975', u'ed_degree': u''}]",
22410,~01188050f758172b14,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/22410.jpg"", 1)",,,"[{u'ed_to': u'01/2017', u'ed_area': u'Liberal Arts', u'ed_school': u'Oakland Community College', u'ed_comment': u'Graduated Magna Cum Laude, member Phi Theta Kappa Honors Society', u'ed_from': u'01/2013', u'ed_degree': u""Associate's degree""}, {u'ed_to': u'01/2017', u'ed_area': u'General Studies', u'ed_school': u'Oakland Community College', u'ed_comment': u'Graduated Magna Cum Laude, Member Phi Theta Kappa Honors Society', u'ed_from': u'01/2013', u'ed_degree': u""Associate's degree""}, {u'ed_to': u'01/2017', u'ed_area': u'', u'ed_school': u""The Actor's Loft, Royal Oak, MI"", u'ed_comment': u'Currently studying and working with Emmy award-nominated/winning instructors.', u'ed_from': u'01/2016', u'ed_degree': u''}]",
2524,~01e2f01b219e0008f4,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/2524.jpg"", 1)",,,"[{u'ed_to': u'12/2000', u'ed_area': u'Computer science', u'ed_school': u'Midwestern State University', u'ed_comment': u'', u'ed_from': u'01/1997', u'ed_degree': u'Master of Science (M.S.)'}, {u'ed_to': u'12/1995', u'ed_area': u'Computer science', u'ed_school': u'University of Notre Dame', u'ed_comment': u'Magna Cum Laude', u'ed_from': u'01/1991', u'ed_degree': u'Bachelor of Science (B.S.)'}]",
27896,~01cad6188e12352724,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/27896.jpg"", 1)",,,"[{u'ed_to': u'01/2009', u'ed_area': u'Accounting', u'ed_school': u'Strayer University', u'ed_comment': u'', u'ed_from': u'01/2008', u'ed_degree': u'Master of Business Administration (M.B.A.)'}, {u'ed_to': u'01/2007', u'ed_area': u'Accounting', u'ed_school': u'Kennesaw State University', u'ed_comment': u'', u'ed_from': u'01/2003', u'ed_degree': u'Bachelor of Business Administration (B.B.A.)'}]",
34028,~01ec5d19ce5c18bbe1,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/34028.jpg"", 1)",,,"{u'ed_to': u'01/2014', u'ed_area': u'', u'ed_school': u'Midway High School', u'ed_comment': u'', u'ed_from': u'01/2012', u'ed_degree': u'High school degree'}",
47344,~014226e45a3d6482e1,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/47344.jpg"", 1)",,,"{u'ed_to': u'01/1991', u'ed_area': u'Art, Computer Science', u'ed_school': u'Jamestown Community College', u'ed_comment': u'', u'ed_from': u'01/1990', u'ed_degree': u''}",
49638,~010a31dcb97f9e9df4,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/49638.jpg"", 1)",,,"[{u'ed_to': u'01/2020', u'ed_area': u'Business Management', u'ed_school': u'The University of Findlay', u'ed_comment': u'', u'ed_from': u'01/2015', u'ed_degree': u'Bachelor of Applied Science (B.A.Sc.)'}, {u'ed_to': u'01/2008', u'ed_area': u'Financial Sales and Services', u'ed_school': u'Owens Community College', u'ed_comment': u'', u'ed_from': u'01/2006', u'ed_degree': u""Associate's degree""}]",
20206,~01953cec30a7626914,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/20206.jpg"", 1)",,,"{u'ed_to': u'12/2012', u'ed_area': u'International Studies, Economics, Spanish', u'ed_school': u""Mount St. Mary's University"", u'ed_comment': u'Cum Laude\nReverend John J. O\u2019Neill Memorial Prize for highest achievement in International Studies', u'ed_from': u'01/2009', u'ed_degree': u'Bachelor of Arts (B.A.)'}",
45468,~017616cc029be0ac9f,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/45468.jpg"", 1)",,,"[{u'ed_to': u'01/2017', u'ed_area': u'OTA', u'ed_school': u'Brown Mackie College', u'ed_comment': u'Occupational Therapy Assistant', u'ed_from': u'01/2015', u'ed_degree': u'Associate of Arts and Sciences (A.A.S.)'}, {u'ed_to': u'01/2014', u'ed_area': u'Business', u'ed_school': u'Aurora University', u'ed_comment': u'Received a certificate in Business', u'ed_from': u'01/2013', u'ed_degree': u''}, {u'ed_to': u'01/2013', u'ed_area': u'', u'ed_school': u'United States Air Force Academy', u'ed_comment': u'', u'ed_from': u'01/2010', u'ed_degree': u''}]",
