user_count,hr_tenure
1,"[0, 0, 0, [25.0, 22.22], 23.61, 23.61]"
2,"[157, 5, 0, [100.0, 55.0, 85.0, 55.0, 50.0, 50.0, 50.0, 55.0, 55.0, 40.0, 55.0, 52.0, 75.0], 59.77, 55.0]"
3,"[244, 8, 0, [45.0, 40.0, 45.0, 35.0, 30.0, 40.0], 39.17, 40.0]"
4,"[251, 8, 0, [75.0, 45.0, 75.0, 45.0, 38.0, 45.0, 28.0, 28.0, 28.0, 28.0], 43.5, 41.5]"
5,"[0, 0, 0, [50.0], 50.0, 50.0]"
6,"[289, 9, 0, [150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0, 120.0, 100.0, 150.0], 142.73, 150.0]"
7,"[0, 0, 0, [100.0, 87.5], 93.75, 93.75]"
8,"[419, 13, 1, [120.0, 85.0, 90.0, 81.25, 100.0, 90.0, 85.0, 90.0, 75.0, 90.0, 90.0, 85.0, 90.0, 85.0, 85.0, 85.0, 85.0, 85.0, 85.0, 85.0, 85.0, 75.0, 85.0, 85.0, 85.0, 75.0, 85.0, 100.0, 85.0, 85.0, 85.0, 40.0, 75.0, 75.0, 90.0, 90.0, 85.0, 85.0, 75.0, 75.0, 75.0, 75.0, 75.0, 40.0, 87.5, 75.0, 87.5, 87.5, 75.0, 62.5, 90.0, 62.5, 40.0, 40.0, 75.0, 62.5, 62.5, 62.5, 87.5, 62.5, 50.0, 50.0, 65.0, 35.0, 40.0, 50.0, 65.0, 65.0, 40.0, 50.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 35.0, 40.0, 40.0, 40.0, 25.0, 40.0, 40.0, 40.0, 40.0, 30.0, 40.0, 30.0, 40.0, 30.0, 40.0, 40.0, 40.0, 35.0, 30.0, 35.0, 35.0, 31.25], 64.22, 75.0]"
9,"[317, 10, 0, [25.0], 25.0, 25.0]"
10,"[454, 15, 1, [50.0, 30.0, 50.0, 50.0, 20.0, 30.0], 38.33, 40.0]"
11,"[760, 25, 2, [40.0, 40.0], 40.0, 40.0]"
12,"[0, 0, 0, [35.0, 35.0, 60.0, 50.0], 45.0, 42.5]"
13,"[2264, 75, 6, [50.0, 22.0, 18.0, 18.0, 18.0, 10.0, 10.0], 20.86, 18.0]"
14,"[538, 17, 1, [29.95, 39.95, 29.95, 34.95, 35.0, 29.95, 29.95, 29.95, 29.95, 29.95, 29.95, 29.95, 35.0, 35.0, 35.0, 29.95, 19.99, 35.0, 40.0], 32.07, 29.95]"
15,"[726, 24, 1, [75.0, 75.0, 65.0, 75.0, 75.0, 75.0, 75.0, 55.0, 60.0, 35.0, 35.0, 55.0, 65.0, 40.0, 36.0, 37.0], 58.31, 62.5]"
16,"[0, 0, 0, [43.75, 50.0, 30.0], 41.25, 43.75]"
17,None
18,"[38, 1, 0, [90.0], 90.0, 90.0]"
19,"[0, 0, 0, [85.0, 85.0], 85.0, 85.0]"
20,"[0, 0, 0, [75.0], 75.0, 75.0]"
21,"[0, 0, 0, [25.0, 30.0, 25.0], 26.67, 25.0]"
22,None
23,"[55, 1, 0, [40.0], 40.0, 40.0]"
24,None
25,None
26,"[793, 26, 2, [37.5, 38.89, 37.5, 37.5, 37.5, 35.0, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 32.88, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 38.89, 35.0, 37.5, 35.0, 38.89, 38.89, 38.89, 38.89, 38.89, 38.89, 38.89, 38.89, 38.89, 38.89, 38.89, 38.89, 38.89, 38.89, 38.89, 38.89, 33.33, 33.33, 33.0, 33.33, 33.33], 37.31, 37.5]"
