user_count,skilltest_tenure
1,"[53, 1, 0]"
2,None
3,"[135, 4, 0]"
4,"[374, 12, 1]"
5,"[47, 1, 0]"
6,"[326, 10, 0]"
7,None
8,"[414, 13, 1]"
9,None
10,"[326, 10, 0]"
11,"[814, 27, 2]"
12,None
13,"[2766, 92, 7]"
14,"[723, 24, 1]"
15,"[918, 30, 2]"
16,"[926, 30, 2]"
17,"[922, 30, 2]"
18,"[45, 1, 0]"
19,"[486, 16, 1]"
20,None
21,None
22,None
23,None
24,None
25,"[103, 3, 0]"
26,"[873, 29, 2]"
27,None
28,"[1037, 34, 2]"
29,"[1128, 37, 3]"
30,"[851, 28, 2]"
31,"[1060, 35, 2]"
32,None
33,"[52, 1, 0]"
34,"[53, 1, 0]"
35,None
36,"[982, 32, 2]"
37,None
38,None
39,None
40,None
41,"[372, 12, 1]"
42,"[582, 19, 1]"
43,"[505, 16, 1]"
44,"[1329, 44, 3]"
45,"[605, 20, 1]"
46,"[790, 26, 2]"
47,"[714, 23, 1]"
48,"[906, 30, 2]"
49,None
50,"[244, 8, 0]"
51,"[319, 10, 0]"
52,"[278, 9, 0]"
53,"[341, 11, 0]"
54,"[199, 6, 0]"
55,"[473, 15, 1]"
56,"[355, 11, 0]"
57,"[544, 18, 1]"
58,"[384, 12, 1]"
59,"[173, 5, 0]"
60,"[565, 18, 1]"
61,"[202, 6, 0]"
62,"[102, 3, 0]"
63,"[423, 14, 1]"
64,None
65,"[2227, 74, 6]"
66,"[227, 7, 0]"
67,"[80, 2, 0]"
68,None
69,None
70,"[864, 28, 2]"
71,"[485, 16, 1]"
72,"[419, 13, 1]"
73,"[555, 18, 1]"
74,None
75,None
76,"[210, 7, 0]"
77,None
78,None
79,"[55, 1, 0]"
80,"[601, 20, 1]"
81,"[775, 25, 2]"
82,"[786, 26, 2]"
83,"[656, 21, 1]"
84,"[451, 15, 1]"
85,"[1358, 45, 3]"
86,"[54, 1, 0]"
87,None
88,"[1696, 56, 4]"
89,None
90,"[352, 11, 0]"
91,"[824, 27, 2]"
92,"[226, 7, 0]"
93,"[76, 2, 0]"
94,"[1508, 50, 4]"
95,"[1707, 56, 4]"
96,"[89, 2, 0]"
97,"[1465, 48, 4]"
98,None
99,"[1404, 46, 3]"
100,None
101,"[2414, 80, 6]"
102,None
103,None
104,"[744, 24, 2]"
105,None
106,"[1293, 43, 3]"
107,None
108,"[383, 12, 1]"
109,"[57, 1, 0]"
110,"[348, 11, 0]"
111,"[2283, 76, 6]"
112,"[683, 22, 1]"
113,None
114,None
115,"[1156, 38, 3]"
116,"[804, 26, 2]"
117,"[478, 15, 1]"
118,"[568, 18, 1]"
119,"[39, 1, 0]"
120,"[500, 16, 1]"
121,None
122,"[346, 11, 0]"
123,None
124,"[772, 25, 2]"
125,None
126,None
127,"[361, 12, 0]"
128,None
129,"[747, 24, 2]"
130,"[228, 7, 0]"
131,None
132,"[118, 3, 0]"
133,"[130, 4, 0]"
134,"[763, 25, 2]"
135,"[556, 18, 1]"
136,"[1060, 35, 2]"
137,"[776, 25, 2]"
