user_count,work_experience
1,5
2,5
3,15
4,12
5,2
6,18
7,0
8,8
9,11
10,15
11,12
12,39
13,2
14,13
15,12
16,6
17,2
18,4
19,1
20,25
21,0
22,0
23,3
24,5
25,1
26,21
27,11
28,17
29,37
30,5
31,0
32,0
33,3
34,6
35,10
36,14
37,4
38,12
39,7
40,18
41,14
42,0
43,13
44,6
45,15
46,12
47,7
48,11
49,0
50,7
51,32
52,3
53,9
54,0
55,11
56,15
57,9
58,2
59,7
60,2
61,10
62,3
63,6
64,0
65,24
66,0
67,5
68,8
69,0
70,33
71,4
72,11
73,4
74,10
75,15
76,4
77,2
78,11
79,8
80,6
81,4
82,10
83,6
84,1
85,12
86,4
87,17
88,7
89,0
90,2
91,5
92,5
93,1
94,13
95,5
96,0
97,18
98,12
99,7
100,6
101,14
102,13
103,8
104,4
105,7
106,14
107,3
108,1
109,7
110,12
111,27
112,10
113,0
114,29
115,4
116,23
117,20
118,19
119,0
120,10
121,14
122,2
123,3
124,7
125,21
126,32
127,11
128,10
129,0
130,8
131,0
132,1
133,0
134,3
135,3
136,5
137,9
138,4
139,3
140,7
141,0
142,2
143,10
144,22
145,12
146,11
147,14
148,4
149,3
150,6
151,1
152,5
153,4
154,2
155,3
156,9
157,18
158,27
159,8
160,0
161,7
162,4
163,16
164,34
165,7
166,2
167,7
168,16
169,22
170,9
171,17
172,1
173,8
174,3
175,5
176,3
177,7
178,0
179,0
180,6
181,5
182,1
183,12
184,1
185,1
186,11
187,11
188,0
189,7
190,30
191,2
192,17
193,4
194,0
195,22
196,6
197,9
198,15
199,14
200,4
201,10
202,12
203,27
204,13
205,4
206,33
207,8
208,11
209,22
210,2
211,21
212,5
213,0
214,6
215,7
216,7
217,7
218,9
219,4
220,0
221,20
222,8
223,11
224,18
225,5
226,2
227,18
228,18
229,12
230,33
231,43
232,27
233,0
234,8
235,5
236,10
237,0
238,7
239,9
240,14
241,8
242,3
243,10
244,3
245,4
246,30
247,0
248,0
249,12
250,22
251,8
252,4
253,11
254,11
255,4
256,18
257,0
258,3
259,14
260,11
261,3
262,4
263,22
264,2
265,9
266,9
267,8
268,18
269,25
270,12
271,10
272,9
273,7
274,0
275,13
276,11
277,9
278,3
279,10
280,8
281,3
282,12
283,0
284,17
285,0
286,11
287,3
288,9
289,0
290,17
291,10
292,5
293,7
294,8
295,5
296,10
297,10
298,1
299,6
300,0
301,0
302,0
303,6
304,6
305,0
306,3
307,22
308,0
309,15
310,4
311,8
312,8
313,0
314,0
315,2
316,4
317,5
318,26
319,0
320,15
321,5
322,39
323,4
324,1
325,0
326,27
327,4
328,12
329,1
330,0
331,0
332,0
333,0
334,0
335,16
336,0
337,18
338,10
339,0
340,0
341,1
342,0
343,0
344,2
345,13
346,2
347,6
348,2
349,6
350,8
351,17
352,7
353,8
354,26
355,5
356,32
357,0
358,5
359,10
360,9
361,0
362,3
363,9
364,17
365,11
366,0
367,21
368,5
369,5
370,2
371,10
372,0
373,14
374,11
375,16
376,11
377,9
378,4
379,3
380,4
381,7
382,6
383,6
384,3
385,19
386,10
387,11
388,22
389,0
390,21
391,18
392,13
393,0
394,10
395,4
396,16
397,12
398,20
399,8
400,26
401,5
402,6
403,4
404,23
405,6
406,3
407,9
408,14
409,3
410,12
411,9
412,12
413,29
414,0
415,1
416,2
417,5
418,19
419,5
420,0
421,4
422,14
423,13
424,10
425,53
426,2
427,5
428,9
429,10
430,3
431,3
432,6
433,6
434,26
435,31
436,21
437,1
438,10
439,13
440,7
441,3
442,23
443,10
444,12
445,14
446,11
447,3
448,11
449,6
450,7
451,0
452,2
453,16
454,16
455,2
456,5
457,20
458,20
459,7
460,8
461,5
462,11
463,3
464,16
465,10
466,8
467,16
468,5
469,9
470,8
471,4
472,13
473,20
474,32
475,20
476,2
477,33
478,3
479,21
480,3
481,3
482,7
483,12
484,11
485,5
486,0
487,4
488,7
489,6
490,0
491,4
492,4
493,20
494,16
495,8
496,21
497,4
498,17
499,28
500,30
501,1
502,7
503,12
504,26
505,4
506,3
507,2
508,4
509,10
510,0
511,31
512,5
513,3
514,4
515,1
516,33
517,18
518,14
519,5
520,3
521,4
522,2
523,0
524,0
525,11
526,20
527,4
528,6
529,21
530,1
531,0
532,3
533,2
534,1
535,7
536,7
537,3
538,1
539,0
540,9
541,11
542,28
543,9
544,0
545,2
546,11
547,0
548,5
549,6
550,22
551,0
552,38
553,21
554,41
555,16
556,5
557,0
558,18
559,5
560,2
561,3
562,20
563,27
564,9
565,9
566,11
567,9
568,14
569,14
570,10
571,22
572,7
573,14
574,14
575,7
576,13
577,8
578,10
579,12
580,11
581,4
582,30
583,3
584,36
585,25
586,16
587,17
588,38
589,13
590,0
591,10
592,0
593,10
594,18
595,17
596,2
597,14
598,11
599,7
600,9
601,6
602,4
603,33
604,11
605,7
606,9
607,10
608,14
609,4
610,13
611,6
612,12
613,14
614,13
615,33
616,18
617,9
618,9
619,9
620,8
621,10
622,22
623,23
624,14
625,8
626,25
627,7
628,36
629,10
630,26
631,18
632,17
633,12
634,9
635,12
636,4
637,12
638,2
639,26
640,8
641,11
