institution,comment,degree
Skyline High School,You don't need a formal education in video production to be proficient at it. Classes simply teach you the programs and potential styles of animation. Experience is what's important. Experience is what puts you ahead of the competition.,High school degree
Whitefish High School,,
"High School of Art & Design, & School of Visual Arts",,Bachelor of Fine Arts (B.F.A.)
Hilltop High School ,High School Diploma,High school degree
Reedsport High School,"National Honor Society
DECA, Honor Choir 3 years out of 5
Honor Roll, 3.87/4.00 GPA",Diploma
Manatee High School,,High school degree
Redlands High School,,
South Side High School,"I graduated high school with a 3.9 GPA, and trophies in Creative Writing and English",
Rock Island Senior High School,"I completed my required courses for graduation in my sophomore year and spent my upperclass years studying advanced verbal and written english and communications, vocabulary building and business procedures and operations.",
Seaside High School,,High school degree
Newburyport High School,,
Haslett High School,,Diploma
Woonsocket Senior High School,"Inducted into Rhode Island and National Honor Societies.

Nominated for and published in Who’s Who Among American High School Students.",Diploma
West High School,,High School
Haddonfield Memorial High School,,High school degree
Taunton High School,,Diploma
High School of Art and Design,"    * High School Diploma with Gold Seal & Regents Diploma.
    * Majored in Advertising & Graphic Design.
    * Creative Director in High School Advertising Agency.
",High School Diploma with Gold Seal & Regents
Fort Walton Beach High School,,
Brick Memorial High School,,High school degree
Carlsbad High School,Graduated honors with a 4.21 GPA.,
Saint Ignatius High School,,Diploma
High School,,
Germantown High School,,
Cathedral City High School,High school general education with emphasis on music and photography.,
British High School of Design,,
Barry County High School,,High school degree
Rubidoux High School,,High school degree
Eastside High School,I graduated from Eastside High School in 2000.,High School
Dixie Hollins High Schools,,High school degree
Damien High School,,
Chicago Pacific High School,,High school degree
Borden High School,"(I know, it's only high school, but here's what I earned):
-Member, National Honors Society
-President and Founder SHOUT (community service club)
-Member, Academy of Finance
-Won Presidential Volunteer Service Award
-Honors in Journalism and Spanish
-Academic Honors Diploma recipient
-graduating GPA of 3.9",
Penn High School,,High school degree
Piner High School,,High School
Everegreen Senior High School,,High school degree
Union County High School,"I attended Horace Maynard High School from 1994 to 1997, after that a new High
School was built in my county. I spent my Senior year at Union County High
School. My best subjects were English & Literature.",Diploma
Santa Ynez Valley Union High School,,High school degree
Glenn Hills High School,High School Diploma,High school degree
Jones High School,,High School
Windsor High School,,High School
High School Diploma,,
Eastchester Senior High School,,High School Diploma
Hudson Bay High School,,
"Normandy High School, Parma, OH, USA",,High school degree
Gilbert High School,,High school degree
Nashoba Valley Technical High School,"Spent 4 years studying computer hardware and software programming. I was in a shop class each week rotating academics and studying computers. I learned the skills to be able to build my own computers, fix computer and do basic computer programming.",High school degree
Holy Spirit High School,,
Southgate High School,,High school degree
Long Beach Polytechnic High School,Graduated with Honors.,
Granada Hills High School,,Diploma
Mission San Jose High School,,High school degree
Danville High School,,High school degree
Pine Bush High School,"National Honor Society. 
Graduated in the top 20 of my class.
English, Math and Science Tutor.",
Graves County High School,,
St. Anthony's High School,,High School
Gulf High School,,
High School,,
Verona High School,,Bachelor's degree
Orville Platt High School,Graduated top in my class.,High school degree
Boyd High School,,High school degree
Atherton High School,,High school degree
Penn Manor High School,,
Montclair High school,,High school degree
Nipomo High School,,
Baldwin Park High School,,High school degree
High School,,High school degree
"Westminster High School - Westminster, CA",,Diploma
Maranatha High School,,High school degree
Mankato East High School,"Took primarily math, science/physics and programming classes in preparation for future study in Mechanical Engineering, though I took woodworking for 4 years because, well, it's awesome.

For my senior final in Programming, I cloned the popular arcade game ""Arkanoid"" in Visual Basic.",High School
"Columbia High School, Maplewood, NJ",,High school degree
WoodBridge Senior High School,,High school degree
Ocean View High School,,
"Caprock High School, Amarillo, TX",,
Turlock High School,,High school degree
Ooltewah High School,Valedictorian (ranked 1/314) and National Merit Scholar,High school degree
Juda High School,"While in HS, I took 4 years of advanced art. This is what really sparked the interest that later lead to me going into the design and development field.",
Hampton Christian High School,,General Diploma
High School of Art and Design,,
High School Of Art and Design,,
South Oldham High School,,
Oldham County High School,,
NorthWood High School,10th in a class of 178.  Excelled in Math and office classes.,High School
Hamilton Wenham Regional High School,,High school degree
Monona Grove High School,High School Education,High School Diploma
Rainshadow Community Charter High School,Salutatorian Honors (2nd in graduating class). Editor of school yearbook and newsletter.,High school degree
New London High School,,
William T. McFatter Technical High School,,High school degree
Ysleta High School,"Graduated in the top 5%, National Honor Roll, Math and Science Club, and AP College Calculus and Physics courses.  Spanish, Chemistry, Mathematics recognition. ",H.S. Diploma
Big Spring High School,,Diploma
Hanahan High School,Currently Attending,High school degree
Timberline High School,,
Los Alamitos High School,,High school degree
Clearfield High School,,
"Episcopal High School - Houston, TX",Cum Laude graduate of College Prep High School,
Palisades High School,3.85 GPA,High school degree
La Vergne High School,,High school degree
Cedarcrest High School,,
Lemon Bay High School,Webmaster of www.lemonbayhigh.com (re-design in progress) - Also designed the mobile look of Lemon Bay High.,High School
Tollgate High School,Grade average of B.,High School
Worthington Kilbourne High School,,
Woodinville Senior High School,I have some college credits through the running start program however I did not finish my degree. My focus was on business and marketing.,
Del Paso High School,I met the state requirement for High School Graduation.  I was also awarded at graduation with a certificate for student of the year,
Lawrence Free State High School,,High school degree
Collins High School,High School Diploma,
Bellflower High School,,High school degree
Davis Senior High School,,
Apache Junction High School,,High school degree
Banning high school,,
Derby High School,,High school degree
Montour High School,"I took Visual Basic, Pascal, Java, and C++ classes with a cooperative program with the University of Pittsburgh.",High School
"Southern High School, Louisville KY",,High school degree
Gahanna Lincoln High School,,High school degree
High School,,
Norman North High School,,High school degree
Reading High School,,
High School,,High school degree
Marion Harding High School,,
Caldwell High School,,
Turlock High School,,
"Saint Bernard High School, Playa del Rey",,High school degree
Theodore High School,Advanced Diploma with Academic Endorsment,High school degree
Seqouyah High School,,
Hinomoto Gakuen High School (Japan),,High School
Union Springs High School,,Diploma
Ankeny high school,,
New Trier High School,,High school degree
Purchase Line High School,,High school degree
Tioga High School,,High school degree
Homer High School,Graduated in top 7% of class,High school degree
Ramona High School,,High school degree
Perry High School,"Core courses- Advanced Algebra, Chemistry, Anthropology, African American Literature, Physical Education etc.

Elective courses- Visual arts, Jewelry, Spanish etc.",High school degree
Montville Township High School,,
Keystone National High School,"Top GPA, Prinicipal's Honor Roll, State Diploma",High school degree
•	Dr Ivan Panov High School,,High School
West Brook Sr High School,,High school degree
Paul D. Schreiber High School,,
Putnam City North High School,,
Park Hill High School,,High School
Westview High School,,
Willard High School,,High school degree
Owen J. Roberts High School,,High school degree
Los Angeles County High School for the Arts,"Was a part of the first graduating class of LACHSA. Performed in numerous productions in addition to studying Movement, Musical Theatre and Dance.",High School
Olympic High School,,High school degree
Thomas Jefferson High School,,High school degree
Fitzgerald High School,Editor of school newspaper,High school degree
Coastal Christian High School,,
Watsonville High School,,
Yamhill-Carlton High School,Graduated high school with a 4.0 gpa.,High School
Huron High School,,
Walled Lake Western High School,,High school degree
Green Valley High School,,
Appling County High School,,High school degree
