degree_category,institution,comment,degree
Other,Roberts Walsh Court Reporting,I was exempt from taking English courses that were part of the curriculum because my test scores were very high. That enabled me to concentrate on theory and finish six months ahead of those who started the course at the same time as I did.,Other
Other,Brookdale Community College,"Based on my test scores, I was approached to tutor second-language-English students. Those same test scores allowed me to start in level II courses.",Other
Other,Linn Benton Community College,"1 ½  years Business Administration with emphasis in Marketing 
Member of Delta Epsilon Chi
Deans List, 3.75/4.00 GPA",Other
Other,University of Iowa,,Other
Other,University of Wisconsin-Madison,Graduate course work.,Other
Other,Weber State University,,Other
Other,Antelope Valley College,,Other
Other,North Central University,,Other
Other,Chicago School of Professional Psychology,Doctor of Psychology (PsyD) degree not completed,Other
Other,"International House, Barcelona","Took full-time, month long intensive course to train as an English as Second Language teacher. Included in-depth study of English grammar, sentence structure, and rules of punctuation.

I am a fully certified and experienced CELTA (Cambridge English Language Teaching for Adults) instructor.

Graduated in the top 2% of class.",Other
Other,University of Massachusetts,,Other
Other,Mount Wachusett Community College,,Other
Other,Community College of RI,* Graduated with Highest Honors,Other
Other,"DEFENSE LANGUAGE INSTITUTE, MONTEREY CA",,Other
Other,Dixie State University,,Other
Other,Shanghai University of Traditional Chinese Medicine,"Studied and physically applied the theories (yin/yang, five elements, meridians, etc) and practices (acupuncture, moxibustion, cupping, etc) of traditional Chinese medicine. ",Other
Other,Károli Gáspár Református Egyetem,"At Károli Gáspár Református Egyetem, I studied abroad in Budapest, Hungary in order to gain an international context on English linguistics from the perspective of a non-native speaker; I also pursued cultural education and an interest in international health systems. I studied global health, eastern European culture, Hungarian language and culture, and the specific linguistic fields of phonetics, phonology, morphology, and semantics.",Other
Other,Allegheny College,"While in high school, I was also enrolled at Allegheny College to study both Chinese and German. In both classes, I received the highest grade and achieved the most fluent speaking proficiency.",Other
Other,University of Cambridge,"University of Cambridge's CELTA certificate is a TEFL industry standard. The University approves a small number of language schools worldwide to teach their specific curriculum, and certificates are then awarded via the University. I took the program in Istanbul, Turkey.

•	Earned ‘Pass A’ grade for course which included teaching eight lessons to native Turkish speakers and developing lesson plans using various media",Other
Other,Delta College,I briefly attended college prior to joining the Military.  My decision to leave college was financially based.,Other
Other,United States Military Police Academy,"I successfully completed training at the United States Military Police Academy
at Fort McClellan, AL.  I graduated as one of four honor students for that
particular cycle.",Other
Other,Broadcast Training Network,"I successfully completed BTN's training program which involved working with
WTTS in Bloomington, IN.",Other
Other,Manhattan Area Technical College,Associates of Applied Science Degree earned.,Other
