Occupation 2010 Description,2010 Census Code,2010 SOC Code
,0010-3540,11-0000 - 29-0000
,,
"Management, Business, and Financial Occupations:",0010-0950,11-0000 - 13-0000
,,
Management Occupations:,0010-0430,11-0000
,,
Chief executives,0010,11-1011
General and operations managers,0020,11-1021
Legislators,0030,11-1031
Advertising and promotions managers,0040,11-2011
Marketing and sales managers,0050,11-2020
Public relations and fundraising managers,0060,11-2031
Administrative services managers,0100,11-3011
Computer and information systems managers,0110,11-3021
Financial managers,0120,11-3031
Compensation and benefits managers, 0135 ,11-3111  
Human resources managers,0136,11-3121  
Training and development managers,0137,11-3131  
Industrial production managers,0140,11-3051
Purchasing managers,0150,11-3061
"Transportation, storage, and distribution managers",0160,11-3071
"Farmers, ranchers, and other agricultural managers",0205,11-9013
Construction managers,0220,11-9021
Education administrators,0230,11-9030
Architectural and engineering managers,0300,11-9041
Food service managers,0310,11-9051
Funeral service managers,0325,11-9061
Gaming managers,0330,11-9071
Lodging managers,0340,11-9081
Medical and health services managers,0350,11-9111
Natural sciences managers,0360,11-9121
Postmasters and mail superintendents,0400,11-9131
"Property, real estate, and community association managers",0410,11-9141
Social and community service managers,0420,11-9151
Emergency management directors,0425,11-9161
"Managers, all other",0430,11-9199
,,
Business and Financial Operations Occupations:,0500-0950,13-0000
,,
"Agents and business managers of artists, performers, and athletes",0500,13-1011 
"Buyers and purchasing agents, farm products",0510,13-1021 
"Wholesale and retail buyers, except farm products",0520,13-1022 
"Purchasing agents, except wholesale, retail, and farm products",0530,13-1023 
"Claims adjusters, appraisers, examiners, and investigators",0540,13-1030 
Compliance officers,0565,13-1041
Cost estimators,0600,13-1051
Human resources workers,0630,13-1070 
"Compensation, benefits, and job analysis specialists",0640,13-1141
Training and development specialists,0650,13-1151
Logisticians,0700,13-1081 
Management analysts,0710,13-1111 
"Meeting, convention, and event planners",0725,13-1121 
Fundraisers,0726,13-1131
Market research analysts and marketing specialists,0735,13-1161
"Business operations specialists, all other",0740,13-1199 
Accountants and auditors,0800,13-2011 
Appraisers and assessors of real estate,0810,13-2021 
Budget analysts,0820,13-2031 
Credit analysts,0830,13-2041 
Financial analysts,0840,13-2051 
Personal financial advisors,0850,13-2052 
Insurance underwriters,0860,13-2053 
Financial examiners,0900,13-2061 
Credit counselors and loan officers,0910,13-2070 
"Tax examiners and collectors, and revenue agents",0930,13-2081 
Tax preparers,0940,13-2082
"Financial specialists, all other",0950,13-2099 
,,
"Computer, Engineering, and Science Occupations:",1000-1965,15-0000 - 19-0000
,,
Computer and mathematical occupations:,1000-1240,15-0000
,,
Computer and information research scientists,1005,15-1111
Computer systems analysts,1006,15-1121 
Information security analysts,1007,15-1122
Computer programmers,1010,15-1131 
"Software developers, applications and systems software",1020,15-113X  
Web developers,1030,15-1134
Computer support specialists,1050,15-1150  
Database administrators,1060,15-1141 
Network and computer systems administrators,1105,15-1142  
Computer network architects ,1106,15-1143  
"Computer occupations, all other",1107,15-1199
Actuaries,1200,15-2011 
Mathematicians,1210,15-2021 
Operations research analysts,1220,15-2031 
Statisticians,1230,15-2041 
Miscellaneous mathematical science occupations,1240,15-2090
,,
Architecture and Engineering Occupations:,1300-1560,17-0000
,,
"Architects, except naval",1300,17-1010 
"Surveyors, cartographers, and photogrammetrists",1310,17-1020 
Aerospace engineers,1320,17-2011 
Agricultural engineers,1330,17-2021
Biomedical engineers,1340,17-2031
Chemical engineers,1350,17-2041 
Civil engineers,1360,17-2051 
Computer hardware engineers,1400,17-2061 
Electrical and electronics engineers,1410,17-2070 
Environmental engineers,1420,17-2081 
"Industrial engineers, including health and safety",1430,17-2110 
Marine engineers and naval architects,1440,17-2121 
Materials engineers,1450,17-2131 
Mechanical engineers,1460,17-2141 
"Mining and geological engineers, including mining safety engineers",1500,17-2151 
Nuclear engineers,1510,17-2161 
Petroleum engineers,1520,17-2171 
"Engineers, all other",1530,17-2199 
Drafters,1540,17-3010 
"Engineering technicians, except drafters",1550,17-3020 
Surveying and mapping technicians,1560,17-3031 
,,
"Life, Physical, and Social Science Occupations:",1600-1965,19-0000
,,
Agricultural and food scientists,1600,19-1010
Biological scientists,1610,19-1020 
Conservation scientists and foresters,1640,19-1030 
Medical scientists,1650,19-1040 
"Life scientists, all other",1660,19-1099
Astronomers and physicists,1700,19-2010 
Atmospheric and space scientists,1710,19-2021 
Chemists and materials scientists,1720,19-2030 
Environmental scientists and geoscientists,1740,19-2040 
"Physical scientists, all other",1760,19-2099 
Economists,1800,19-3011 
Survey researchers,1815,19-3022 
Psychologists,1820,19-3030 
Sociologists,1830,19-3041 
Urban and regional planners,1840,19-3051 
Miscellaneous social scientists and related workers,1860,19-3090
Agricultural and food science technicians,1900,19-4011
Biological technicians,1910,19-4021
Chemical technicians,1920,19-4031
Geological and petroleum technicians,1930,19-4041
Nuclear technicians,1940,19-4051
Social science research assistants,1950,19-4061
"Miscellaneous life, physical, and social science technicians",1965,19-4090
,,
"Education, Legal, Community Service, Arts, and Media Occupations:",2000-2960,21-0000 - 27-0000
,,
Community and Social Service Occupations:,2000-2060,21-0000
,,
Counselors,2000,21-1010
Social workers,2010,21-1020
Probation officers and correctional treatment specialists,2015,21-1092
Social and human service assistants,2016,21-1093
"Miscellaneous community and social service specialists, including health educators and community health workers",2025,21-109X
