Id,JobTitle,SIC,JobTask,SOC2010_1,Score_1,SOC2010_2,Score_2,SOC2010_3,Score_3,SOC2010_4,Score_4,SOC2010_5,Score_5,SOC2010_6,Score_6,SOC2010_7,Score_7,SOC2010_8,Score_8,SOC2010_9,Score_9,SOC2010_10,Score_10
1,accounting and consulting,,accounting financial planning human resources management consulting,13-2011,0.083598536,43-3031,0.037875968,Nov-31,0.01697086,43-3021,0.016678932,13-2031,0.014649728,25-9021,0.01145464,17-2112,0.011270775,17-2072,0.011055617,17-2111,0.010870442,25-1011,0.010374874
2,administrative support,,data entry personal virtual assistant project management transcription web research,43-6014,0.186987245,43-6011,0.094301011,43-6013,0.065586569,43-9061,0.056252232,43-4071,0.049695089,15-1199,0.041089536,29-2071,0.039108379,15-1133,0.032110285,15-1142,0.028960887,15-1132,0.024493395
3,customer service,,customer service technical support,43-4051,0.20696555,43-9041,0.125610735,43-1011,0.059999465,49-2011,0.054246025,15-1151,0.043144541,41-2021,0.038429021,41-1011,0.036982754,41-1012,0.036431154,43-4141,0.035502283,41-9031,0.033637445
4,data science and analytics,,AB Testing Data Visualization Data Extraction ETL Data Mining and Management Machine Learning Quantitative Analysis,43-9111,0.109176012,19-4099,0.106359889,15-2041,0.050941525,15-1199,0.024261378,19-4092,0.02112676,19-4091,0.019945543,17-1021,0.018346027,17-3029,0.016121198,17-3026,0.016088104,25-1042,0.015989486
5,design and creative,,Animation Audio Production Graphic Design Illustration Logo Design and Branding Photography Presentations Video Production Voice Talent,27-1011,0.752230523,27-1024,0.418216298,27-1019,0.223020241,27-1012,0.222214884,27-1029,0.145762865,27-1014,0.12490428,27-1021,0.092472461,17-2199,0.084797222,43-9031,0.079926009,27-1025,0.058357333
6,engineering and architecture,,3D Modeling and CAD Architecture Chemical Engineering Civil and Structural Engineering Contract Manufacturing Electrical Engineering Interior Design Mechanical Engineering Product Design,17-3011,0.742506096,17-2199,0.611367976,Nov-41,0.504372092,17-3013,0.356690887,17-3029,0.355464058,17-3022,0.353297832,17-3019,0.342049804,17-3023,0.328607009,17-3012,0.292801395,17-2072,0.272534475
7,information technology and networking,,Database Administration ERP CRM Software Information Security Network and System Administration,Nov-21,0.937390897,15-1142,0.118371364,15-1143,0.111971736,15-1141,0.097503442,15-1152,0.063804149,15-1151,0.062877688,15-1122,0.055705088,15-1121,0.055561307,15-1133,0.031386164,15-1199,0.031242148
8,legal,,Contract Law Corporate Law Criminal Law Family Law Intellectual Property Law Paralegal Services,23-2011,0.35567487,23-1011,0.09794753,23-2099,0.045264249,23-1012,0.043430848,43-6012,0.030284556,23-1023,0.028234828,33-3052,0.02555219,33-3051,0.02555219,23-2093,0.024828042,25-1065,0.024692728
9,sales and marketing,,Display Advertising Email and Marketing Automation Lead Generation Market and Customer Research Marketing Strategy Public Relations SEM Search Engine Marketing SEO Search Engine Optimization SMM Social Media Marketing Telemarketing and Telesales,Nov-22,0.987165567,Nov-21,0.980549303,41-4011,0.462934127,Nov-11,0.392617818,41-9022,0.117635798,41-3031,0.109168756,13-2021,0.108084238,27-1026,0.10360685,41-1012,0.102377094,27-1023,0.088991105
10,translation,,General Translation Legal Translation Medical Translation Technical Translation,27-3091,0.220910455,11-1011,0.201702055,27-3099,0.022505884,31-1015,0.008672041,43-4061,0.008660412,21-1022,0.008553466,25-2054,0.008468853,21-1012,0.007958512,21-1015,0.007958512,Nov-32,0.007958512
11,web mobile and software development,,Desktop Software Development Ecommerce Development Game Development Product Management Mobile Development Quality assurance and Testing Scripts and Utilities Web Development Web and Mobile Design ,15-1131,0.942546333,15-1199,0.716223152,Nov-21,0.39460246,15-1134,0.291231187,15-1132,0.262630797,15-1133,0.260502362,17-3027,0.048221706,17-3029,0.048221637,17-3023,0.048216183,17-2199,0.043168604
12,writing,,Academic Writing and Research Article and Blog Writing Copywriting Creative Writing Editing and Proofreading Grant Writing Resumes and Cover Letters Technical Writing Web Content,27-3042,0.460392902,19-3011,0.082755032,27-3041,0.07011541,15-1133,0.048071863,15-1131,0.048071863,15-1134,0.048071863,15-1132,0.048071863,19-3092,0.040796696,19-3091,0.040796696,19-3094,0.040796696
